Structure	acname	activity
N#Cc1cccc(-c2ccc(C3(CNC(=O)Nc4cc(Cl)cc(Cl)c4)CCN(C4CCCCC4)CC3)cc2)c1	IC50	13.633189001170319
N#Cc1cccc(-c2ccc3c(c2)CCN(CC(=O)Nc2cc(Cl)cc(Cl)c2)C3C2CCN(C3CCCCC3)CC2)c1	Ki	11.512925464970229
O=C1c2ccc(OC[C@@H]3CCCO3)cc2CCN1[C@@H]1Cc2ccc(CNC3CCCCC3)cc2C1	IC50	7.160070207596626
N#Cc1cccc(-c2ccc3c(c2)CCN(CC(=O)Nc2cc(Cl)cc(Cl)c2)C3C2CCN(C3CCCCCC3)CC2)c1	Ki	11.543384672454938
N#Cc1cccc(-c2ccc3c(c2)CCN(CC(=O)Nc2cc(Cl)cc(Cl)c2)C32CCN(C3CCCCCC3)CC2)c1	Ki	11.417615285165903
O=C(N[C@@H]1Cc2ccc(CN3CCCCCC3)cc2C1)c1ccc(OC[C@@H]2CCCO2)cn1	IC50	7.174328388223683
O=C1N/C(=C\c2ccc(CN3CCCCCC3)cc2)C(=O)N1c1ccc(Oc2ccccc2)cc1	Ki	7.937774776184635
N#Cc1cccc([C@]23CC[C@@H](N(CCN4CCCCCC4)C(=O)Nc4ccc(F)c(Cl)c4)CC2C3)c1	Ki	11.107460356862065
O=C(Nc1ccc(Oc2ccccc2)cc1)Nc1ccc2c(cnn2CCN2CCCCCC2)c1	IC50	12.429216196844383
N#Cc1cccc(-c2ccc(C3(c4nc5cc(F)c(C(F)(F)F)cc5[nH]4)CC34CCN(C(=O)N3CCCC3)CC4)cc2)c1	Ki	10.031320924046012
O=C(Nc1ccc2c(c1)CCC(CN1CCCC1)=C2)c1ccc(-c2ccc(Cl)cc2)cc1	IC50	13.027053197600004
O=C(Nc1ccc2c(c1)CCC(CN1CCCC1)=C2)c1ccc(-c2ccc(F)cc2)cc1	IC50	11.417615285165903
O=C(Nc1ccc2c(c1)CCC(CN1CCCC1)=C2)c1ccc(-c2ccccc2)cc1	IC50	11.330603908176274
O=C1N/C(=C\c2ccc(CN3CCCC3)cc2)C(=O)N1c1ccc(Oc2ccccc2)cc1	Ki	8.421883011611913
O=C(NCCc1ccc(CN2CCCC2)cc1)c1ccc(-c2ccc(Cl)cc2)cc1F	IC50	13.815510557964274
O=C(NCCc1ccc(CN2CCCC2)cc1)c1ccc(-c2ccc(Cl)cc2)cc1	IC50	13.122363377404328
O=C(NCCc1ccc(CN2CCCC2)cc1)c1ccc(-c2ccc(F)cc2)cc1	IC50	12.716898269296165
O=C(Nc1ccc2cc(CN3CCCC3)cnc2c1F)c1ccc(-c2ccc(F)cc2)cc1	IC50	13.898892166903325
O=C(Nc1cc2ncc(CN3CCCC3)cc2cc1Cl)c1ccc(-c2ccc(F)cc2)cc1	IC50	13.479038321343062
